"productId","partNumber","name","brand","productType","particleSize","poreSize","columnLength","innerDiameter","phaseType","phRange","status"
"AGIL-693775-942","693775-942","InfinityLab Poroshell 120 CS-C18, 2.1 x 150 mm, 2.7 µm","Agilent","HPLC Column","2.7 µm","120 Å (Default for Poroshell 120)","150 mm","2.1 mm","CS-C18","1.5-10.0","active"
"AGIL-699775-942","699775-942","InfinityLab Poroshell 120 CS-C18, 2.1 x 50 mm, 2.7 µm","Agilent","HPLC Column","2.7 µm","120 Å (Default for Poroshell 120)","50 mm","2.1 mm","CS-C18","1.5-10.0","active"
"AGIL-823750-949","823750-949","InfinityLab Poroshell 120 CS-C18, 3.0 mm, 2.7 µm, UHPLC guard, 3/pk","Agilent","HPLC Column","2.7 µm","120 Å (Default for Poroshell 120)","5 mm","3.0 mm","CS-C18","1.5-10.0","active"
"AGIL-695975-342","695975-342","InfinityLab Poroshell 120 CS-C18, 3.0 x 100 mm, 2.7 µm","Agilent","HPLC Column","2.7 µm","120 Å (Default for Poroshell 120)","100 mm","3.0 mm","CS-C18","1.5-10.0","active"
"THER-17126-102130","17126-102130","Accucore™ C18 HPLC Columns","Thermo Fisher Scientific","HPLC Column","2.6 μm","80 Å","100 mm","2.1 mm","Reversed Phase
Endcapped","1 to 11","active"
"THER-17126-032130","17126-032130","Accucore™ C18 HPLC Columns","Thermo Fisher Scientific","HPLC Column","2.6 μm","80 Å","30 mm","2.1 mm","Reversed Phase
Endcapped","1 to 11","active"
"THER-17126-052130","17126-052130","Accucore™ C18 HPLC Columns","Thermo Fisher Scientific","HPLC Column","2.6 μm","80 Å","50 mm","2.1 mm","Reversed Phase
Endcapped","1 to 11","active"
"THER-17126-053030","17126-053030","Accucore™ C18 HPLC Columns","Thermo Fisher Scientific","HPLC Column","2.6 μm","80 Å","50 mm","3 mm","Reversed Phase
Endcapped","1 to 11","active"
"THER-17126-054630","17126-054630","Accucore™ C18 HPLC Columns","Thermo Fisher Scientific","HPLC Column","2.6 μm","80 Å","50 mm","4.6 mm","Reversed Phase
Endcapped","1 to 11","active"
"THER-17126-103030","17126-103030","Accucore™ C18 HPLC Columns","Thermo Fisher Scientific","HPLC Column","2.6 μm","80 Å","100 mm","3 mm","Reversed Phase
Endcapped","1 to 11","active"
"THER-17126-104630","17126-104630","Accucore™ C18 HPLC Columns","Thermo Fisher Scientific","HPLC Column","2.6 μm","80 Å","100 mm","4.6 mm","Reversed Phase
Endcapped","1 to 11","active"
"THER-17126-152130","17126-152130","Accucore™ C18 HPLC Columns","Thermo Fisher Scientific","HPLC Column","2.6 μm","80 Å","150 mm","2.1 mm","Reversed Phase
Endcapped","1 to 11","active"
"THER-17126-153030","17126-153030","Accucore™ C18 HPLC Columns","Thermo Fisher Scientific","HPLC Column","2.6 μm","80 Å","150 mm","3 mm","Reversed Phase
Endcapped","1 to 11","active"
"THER-17126-154630","17126-154630","Accucore™ C18 HPLC Columns","Thermo Fisher Scientific","HPLC Column","2.6 μm","80 Å","150 mm","4.6 mm","Reversed Phase
Endcapped","1 to 11","active"
"THER-25003-154630","25003-154630","Hypersil GOLD™ C18 Selectivity HPLC Columns","Thermo Fisher Scientific","HPLC Column","3 μm","175 Å","150 mm","4.6 mm","Reversed Phase
Endcapped","1 to 11","active"
"THER-25003-032130","25003-032130","Hypersil GOLD™ C18 Selectivity HPLC Columns","Thermo Fisher Scientific","HPLC Column","3 μm","175 Å","30 mm","2.1 mm","Reversed Phase
Endcapped","1 to 11","active"
"THER-25003-034630","25003-034630","Hypersil GOLD™ C18 Selectivity HPLC Columns","Thermo Fisher Scientific","HPLC Column","3 μm","175 Å","30 mm","4.6 mm","Reversed Phase
Endcapped","1 to 11","active"
"THER-25003-052130","25003-052130","Hypersil GOLD™ C18 Selectivity HPLC Columns","Thermo Fisher Scientific","HPLC Column","3 μm","175 Å","50 mm","2.1 mm","Reversed Phase
Endcapped","1 to 11","active"
"THER-25003-053030","25003-053030","Hypersil GOLD™ C18 Selectivity HPLC Columns","Thermo Fisher Scientific","HPLC Column","3 μm","175 Å","50 mm","3 mm","Reversed Phase
Endcapped","1 to 11","active"
"THER-25003-054630","25003-054630","Hypersil GOLD™ C18 Selectivity HPLC Columns","Thermo Fisher Scientific","HPLC Column","3 μm","175 Å","50 mm","4.6 mm","Reversed Phase
Endcapped","1 to 11","active"
"THER-25003-101030","25003-101030","Hypersil GOLD™ C18 Selectivity HPLC Columns","Thermo Fisher Scientific","HPLC Column","3 μm","175 Å","100 mm","1 mm","Reversed Phase
Endcapped","1 to 11","active"
"THER-25003-102130","25003-102130","Hypersil GOLD™ C18 Selectivity HPLC Columns","Thermo Fisher Scientific","HPLC Column","3 μm","175 Å","100 mm","2.1 mm","Reversed Phase
Endcapped","1 to 11","active"
"THER-25003-103030","25003-103030","Hypersil GOLD™ C18 Selectivity HPLC Columns","Thermo Fisher Scientific","HPLC Column","3 μm","175 Å","100 mm","3 mm","Reversed Phase
Endcapped","1 to 11","active"
"THER-25003-104030","25003-104030","Hypersil GOLD™ C18 Selectivity HPLC Columns","Thermo Fisher Scientific","HPLC Column","3 μm","175 Å","100 mm","4 mm","Reversed Phase
Endcapped","1 to 11","active"
"THER-25003-104630","25003-104630","Hypersil GOLD™ C18 Selectivity HPLC Columns","Thermo Fisher Scientific","HPLC Column","3 μm","175 Å","100 mm","4.6 mm","Reversed Phase
Endcapped","1 to 11","active"
"THER-25003-152130","25003-152130","Hypersil GOLD™ C18 Selectivity HPLC Columns","Thermo Fisher Scientific","HPLC Column","3 μm","175 Å","150 mm","2.1 mm","Reversed Phase
Endcapped","1 to 11","active"
"THER-25003-153030","25003-153030","Hypersil GOLD™ C18 Selectivity HPLC Columns","Thermo Fisher Scientific","HPLC Column","3 μm","175 Å","150 mm","3 mm","Reversed Phase
Endcapped","1 to 11","active"
"THER-25003-154030","25003-154030","Hypersil GOLD™ C18 Selectivity HPLC Columns","Thermo Fisher Scientific","HPLC Column","3 μm","175 Å","150 mm","4 mm","Reversed Phase
Endcapped","1 to 11","active"
"THER-25003-014001","25003-014001","Hypersil GOLD™ C18 Selectivity HPLC Columns","Thermo Fisher Scientific","HPLC Column","3 μm","175 Å","10 mm","4 mm","Reversed Phase
Endcapped","1 to 11","active"
"THER-25002-012135","25002-012135","Hypersil GOLD™ C18 Selectivity HPLC Columns","Thermo Fisher Scientific","HPLC Column","3 μm","175 Å","10 mm","2.1 mm","Reversed Phase
Endcapped","1 to 11","active"
"THER-25002-022130","25002-022130","Hypersil GOLD™ C18 Selectivity HPLC Columns","Thermo Fisher Scientific","HPLC Column","3 μm","175 Å","20 mm","2.1 mm","Reversed Phase
Endcapped","1 to 11","active"
"THER-25002-031030","25002-031030","Hypersil GOLD™ C18 Selectivity HPLC Columns","Thermo Fisher Scientific","HPLC Column","3 μm","175 Å","30 mm","1 mm","Reversed Phase
Endcapped","1 to 11","active"
"THER-25002-032130","25002-032130","Hypersil GOLD™ C18 Selectivity HPLC Columns","Thermo Fisher Scientific","HPLC Column","3 μm","175 Å","30 mm","2.1 mm","Reversed Phase
Endcapped","1 to 11","active"
"THER-25002-051030","25002-051030","Hypersil GOLD™ C18 Selectivity HPLC Columns","Thermo Fisher Scientific","HPLC Column","3 μm","175 Å","50 mm","1 mm","Reversed Phase
Endcapped","1 to 11","active"
"THER-25002-052130","25002-052130","Hypersil GOLD™ C18 Selectivity HPLC Columns","Thermo Fisher Scientific","HPLC Column","3 μm","175 Å","50 mm","2.1 mm","Reversed Phase
Endcapped","1 to 11","active"
"THER-25002-053030","25002-053030","Hypersil GOLD™ C18 Selectivity HPLC Columns","Thermo Fisher Scientific","HPLC Column","3 μm","175 Å","50 mm","3 mm","Reversed Phase
Endcapped","1 to 11","active"
"THER-25002-054630","25002-054630","Hypersil GOLD™ C18 Selectivity HPLC Columns","Thermo Fisher Scientific","HPLC Column","3 μm","175 Å","50 mm","4.6 mm","Reversed Phase
Endcapped","1 to 11","active"
"THER-25002-101030","25002-101030","Hypersil GOLD™ C18 Selectivity HPLC Columns","Thermo Fisher Scientific","HPLC Column","3 μm","175 Å","100 mm","1 mm","Reversed Phase
Endcapped","1 to 11","active"
"THER-25002-102130","25002-102130","Hypersil GOLD™ C18 Selectivity HPLC Columns","Thermo Fisher Scientific","HPLC Column","3 μm","175 Å","100 mm","2.1 mm","Reversed Phase
Endcapped","1 to 11","active"
"THER-25002-103030","25002-103030","Hypersil GOLD™ C18 Selectivity HPLC Columns","Thermo Fisher Scientific","HPLC Column","3 μm","175 Å","100 mm","3 mm","Reversed Phase
Endcapped","1 to 11","active"
"THER-25002-152130","25002-152130","Hypersil GOLD™ C18 Selectivity HPLC Columns","Thermo Fisher Scientific","HPLC Column","3 μm","175 Å","150 mm","2.1 mm","Reversed Phase
Endcapped","1 to 11","active"
"THER-25002-202130","25002-202130","Hypersil GOLD™ C18 Selectivity HPLC Columns","Thermo Fisher Scientific","HPLC Column","3 μm","175 Å","200 mm","2.1 mm","Reversed Phase
Endcapped","1 to 11","active"
"THER-25003-011001","25003-011001","Hypersil GOLD™ C18 Selectivity HPLC Columns","Thermo Fisher Scientific","HPLC Column","3 μm","175 Å","10 mm","1 mm","Reversed Phase
Endcapped","1 to 11","active"
